월,날짜,보수적_신규,보수적_잔존율,보수적_MAU,현실적_신규,현실적_잔존율,현실적_MAU,공격적_신규,공격적_잔존율,공격적_MAU,성장동인,근거
M0,2026-02,500,,500,500,,500,500,,500,TikTok 바이럴 오가닉 (실적),실측: 500K 조회 -> 500 가입 (CVR 0.1%)
M1,2026-03,300,50%,550,600,55%,875,1500,60%,1800,"오가닉 콘텐츠 지속, 입소문",TikTok 오가닉 CVR 0.1% x 월 420K 조회
M2,2026-04,300,50%,575,700,56%,1190,2000,62%,3116,콘텐츠 마케팅 시작,월 10개 TikTok + 미니바이럴 1회
M3,2026-05,300,50%,588,800,57%,1478,2500,63%,4463,유료 구독 베타 런칭,"신규 채널(인스타, 트위터) 추가"
M4,2026-06,350,50%,644,1000,58%,1857,3000,64%,5856,분기 메이저 바이럴 (500K+),실측: 분기 1회 메이저 바이럴 재현 가정
M5,2026-07,350,52%,685,1200,59%,2296,3500,65%,7306,Phase 2 기능 출시 (음성),기능 추가로 리텐션 개선
M6,2026-08,400,52%,756,2000,60%,3378,5000,66%,9822,"음성채팅 리텐션 효과, 유료 마케팅 시작","초창패 자금: 월 $2K 마케팅, CPI $2-4"
M7,2026-09,400,53%,801,2500,61%,4561,6000,67%,12581,영상통화 베타 + 크리에이터 온보딩,Phase 2 핵심 기능으로 리텐션 추가 개선
M8,2026-10,450,53%,875,3500,62%,6328,8000,68%,16555,"앱스토어 런칭 -> ASO 유입 추가",앱스토어 ASO: 월 200-500명 추가 유입
M9,2026-11,450,54%,923,4000,63%,7987,9000,69%,20423,유료 마케팅 확대,"투자금 유입 시 월 $5-10K 마케팅"
M10,2026-12,500,54%,998,5000,64%,10112,10000,70%,25296,연말 K-pop 시즌 효과,K-pop 연말 시상식/앨범 시즌
M11,2027-01,500,55%,1049,6000,65%,12573,12000,70%,30707,"글로벌 확장 (영어, 일본어)",새 시장 유입으로 신규 가입 증가
M12,2027-02,500,55%,1077,7000,65%,15172,15000,70%,36495,1주년 이벤트,"체계적 마케팅 + 다중 채널"
